"context","target"
"Typist.pk3_Copyright","SPDX-FileCopyrightText: © 2019 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"Typist.pk3_License","SPDX-License-Identifier: CC-BY-SA-4.0
"
"TT_UNLOCK","Unlock Game Mode"
"TT_COMBAT","Force Combat Mode"
"TT_SCORE","Open Score"
"TT_CUSTOM_LESSON_HELP_TEXT","1. Find any text or book in a .txt file (ASCII or UTF-8).
2. Rename text file to `typist_custom_text.txt`.
3. Load `typist_custom_text.txt` alongside Typist.pk3.
4. Enable Custom Text in this menu."
"TT_RANDOM_LESSON_UPPERCASE","A-Z"
"TT_RANDOM_LESSON_LOWERCASE","a-z"
"TT_FALLBACK_QUESTION","<empty lesson>"
"tt_Controls","Controls"
"tt_GeneralOptions","General Options"
"tt_LessonOptions","Lesson Options"
"tt_SoundOptions","Sound Options"
"tt_AutoConfirmation","Automatic word confirmation"
"tt_TargetTextScale","Target text scale"
"tt_ReduceDistractions","Reduce distractions"
"tt_PlayerNoDie","Player can't die"
"tt_AppliesOnStart","Applies on new level start."
"tt_InfiniteAmmo","Infinite ammo"
"tt_EnemyInfighting","Enemy infighting"
"tt_HUD","HUD"
"tt_ShowScore","Show score"
"tt_PainFlash","Pain flash"
"tt_PickupFlash","Pickup flash"
"tt_Standard","Standard"
"tt_Alternative","Alternative"
"tt_NoHUD","No HUD"
"tt_Never","Never"
"tt_Sometimes","Sometimes (normal)"
"tt_Always","Always"
"tt_1000English","1000 Basic English Words"
"tt_RandomCharacters","Random Characters"
"tt_Arithmetic","Arithmetic"
"tt_CustomText","Custom Text"
"tt_RandomCharactersConfiguration","Random Characters Lesson Configuration"
"tt_UpdateTargets","Update targets"
"tt_HowToCustom","How to set up Custom Text lesson"
"tt_PassThroughCommand","Pass Through command"
"tt_PassThroughDescription","Allows a single action key to be pressed without exiting Combat mode."
"tt_SoundEffects","Sound effects"
"tt_TypingSound","Typing sound"
"tt_SoundTheme","Sound theme"
"tt_Length","Length"
"tt_Punctuation","Punctuation"
"tt_OtherCharacters","Other characters"
"tt_CustomString","Custom string"
"tt_Default","Default"
"tt_SNES","SNES"
"tt_Dakka","Dakka"
"tt_GroceryStore","Grocery Store"
"tt_TopPoints","Top Points"
